ID,Year_Period,Jurisdiction,Case_Type,Case_Count
1,2005/2006,Alberta,Family cases,0
2,2005/2006,Alberta,General civil cases,0
3,2005/2006,Alberta,Total cases,0
4,2005/2006,British Columbia,Family cases,228366
5,2005/2006,British Columbia,General civil cases,443146
6,2005/2006,British Columbia,Total cases,671512
7,2005/2006,Canada,Family cases,1070840
8,2005/2006,Canada,General civil cases,1807348
9,2005/2006,Canada,Total cases,2878188
10,2005/2006,New Brunswick,Family cases,0
11,2005/2006,New Brunswick,General civil cases,0
12,2005/2006,New Brunswick,Total cases,0
13,2005/2006,Northwest Territories,Family cases,0
14,2005/2006,Northwest Territories,General civil cases,0
15,2005/2006,Northwest Territories,Total cases,0
16,2005/2006,Nova Scotia,Family cases,65466
17,2005/2006,Nova Scotia,General civil cases,88640
18,2005/2006,Nova Scotia,Total cases,154106
19,2005/2006,Nunavut,Family cases,2980
20,2005/2006,Nunavut,General civil cases,1038
21,2005/2006,Nunavut,Total cases,4018
22,2005/2006,Ontario,Family cases,771396
23,2005/2006,Ontario,General civil cases,1270294
24,2005/2006,Ontario,Total cases,2041690
25,2005/2006,Yukon,Family cases,2632
26,2005/2006,Yukon,General civil cases,4230
27,2005/2006,Yukon,Total cases,6862
28,2006/2007,Alberta,Family cases,145938
29,2006/2007,Alberta,General civil cases,0
30,2006/2007,Alberta,Total cases,145938
31,2006/2007,British Columbia,Family cases,225216
32,2006/2007,British Columbia,General civil cases,429874
33,2006/2007,British Columbia,Total cases,655090
34,2006/2007,Canada,Family cases,1208960
35,2006/2007,Canada,General civil cases,1793310
36,2006/2007,Canada,Total cases,3002270
37,2006/2007,New Brunswick,Family cases,0
38,2006/2007,New Brunswick,General civil cases,0
39,2006/2007,New Brunswick,Total cases,0
40,2006/2007,Northwest Territories,Family cases,3562
41,2006/2007,Northwest Territories,General civil cases,3360
42,2006/2007,Northwest Territories,Total cases,6922
43,2006/2007,Nova Scotia,Family cases,63106
44,2006/2007,Nova Scotia,General civil cases,84568
45,2006/2007,Nova Scotia,Total cases,147674
46,2006/2007,Nunavut,Family cases,3418
47,2006/2007,Nunavut,General civil cases,1216
48,2006/2007,Nunavut,Total cases,4634
49,2006/2007,Ontario,Family cases,765370
50,2006/2007,Ontario,General civil cases,1270442
51,2006/2007,Ontario,Total cases,2035812
52,2006/2007,Yukon,Family cases,2350
53,2006/2007,Yukon,General civil cases,3850
54,2006/2007,Yukon,Total cases,6200
55,2007/2008,Alberta,Family cases,247472
56,2007/2008,Alberta,General civil cases,267566
57,2007/2008,Alberta,Total cases,515038
58,2007/2008,British Columbia,Family cases,235696
59,2007/2008,British Columbia,General civil cases,432522
60,2007/2008,British Columbia,Total cases,668218
61,2007/2008,Canada,Family cases,1312576
62,2007/2008,Canada,General civil cases,2095320
63,2007/2008,Canada,Total cases,3407896
64,2007/2008,New Brunswick,Family cases,0
65,2007/2008,New Brunswick,General civil cases,0
66,2007/2008,New Brunswick,Total cases,0
67,2007/2008,Northwest Territories,Family cases,3298
68,2007/2008,Northwest Territories,General civil cases,3806
69,2007/2008,Northwest Territories,Total cases,7104
70,2007/2008,Nova Scotia,Family cases,59236
71,2007/2008,Nova Scotia,General civil cases,81664
72,2007/2008,Nova Scotia,Total cases,140900
73,2007/2008,Nunavut,Family cases,3224
74,2007/2008,Nunavut,General civil cases,984
75,2007/2008,Nunavut,Total cases,4208
76,2007/2008,Ontario,Family cases,761150
77,2007/2008,Ontario,General civil cases,1305158
78,2007/2008,Ontario,Total cases,2066308
79,2007/2008,Yukon,Family cases,2500
