Year Period,Jurisdiction,Type of case,Number of cases
2005/2006,Alberta,Family cases,0
2005/2006,Alberta,General civil cases,0
2005/2006,Alberta,Total cases,0
2005/2006,British Columbia,Family cases,228366
2005/2006,British Columbia,General civil cases,443146
2005/2006,British Columbia,Total cases,671512
2005/2006,Canada,Family cases,1070840
2005/2006,Canada,General civil cases,1807348
2005/2006,Canada,Total cases,2878188
2005/2006,New Brunswick,Family cases,0
2005/2006,New Brunswick,General civil cases,0
2005/2006,New Brunswick,Total cases,0
2005/2006,Northwest Territories,Family cases,0
2005/2006,Northwest Territories,General civil cases,0
2005/2006,Northwest Territories,Total cases,0
2005/2006,Nova Scotia,Family cases,65466
2005/2006,Nova Scotia,General civil cases,88640
2005/2006,Nova Scotia,Total cases,154106
2005/2006,Nunavut,Family cases,2980
2005/2006,Nunavut,General civil cases,1038
2005/2006,Nunavut,Total cases,4018
2005/2006,Ontario,Family cases,771396
2005/2006,Ontario,General civil cases,1270294
2005/2006,Ontario,Total cases,2041690
2005/2006,Yukon,Family cases,2632
2005/2006,Yukon,General civil cases,4230
2005/2006,Yukon,Total cases,6862
2006/2007,Alberta,Family cases,145938
2006/2007,Alberta,General civil cases,0
2006/2007,Alberta,Total cases,145938
2006/2007,British Columbia,Family cases,225216
2006/2007,British Columbia,General civil cases,429874
2006/2007,British Columbia,Total cases,655090
2006/2007,Canada,Family cases,1208960
2006/2007,Canada,General civil cases,1793310
2006/2007,Canada,Total cases,3002270
2006/2007,New Brunswick,Family cases,0
2006/2007,New Brunswick,General civil cases,0
2006/2007,New Brunswick,Total cases,0
2006/2007,Northwest Territories,Family cases,3562
2006/2007,Northwest Territories,General civil cases,3360
2006/2007,Northwest Territories,Total cases,6922
2006/2007,Nova Scotia,Family cases,63106
2006/2007,Nova Scotia,General civil cases,84568
2006/2007,Nova Scotia,Total cases,147674
2006/2007,Nunavut,Family cases,3418
2006/2007,Nunavut,General civil cases,1216
2006/2007,Nunavut,Total cases,4634
2006/2007,Ontario,Family cases,765370
2006/2007,Ontario,General civil cases,1270442
2006/2007,Ontario,Total cases,2035812
2006/2007,Yukon,Family cases,2350
2006/2007,Yukon,General civil cases,3850
2006/2007,Yukon,Total cases,6200
2007/2008,Alberta,Family cases,247472
2007/2008,Alberta,General civil cases,267566
2007/2008,Alberta,Total cases,515038
2007/2008,British Columbia,Family cases,235696
2007/2008,British Columbia,General civil cases,432522
2007/2008,British Columbia,Total cases,668218
2007/2008,Canada,Family cases,1312576
2007/2008,Canada,General civil cases,2095320
2007/2008,Canada,Total cases,3407896
2007/2008,New Brunswick,Family cases,0
2007/2008,New Brunswick,General civil cases,0
2007/2008,New Brunswick,Total cases,0
2007/2008,Northwest Territories,Family cases,3298
2007/2008,Northwest Territories,General civil cases,3806
2007/2008,Northwest Territories,Total cases,7104
2007/2008,Nova Scotia,Family cases,59236
2007/2008,Nova Scotia,General civil cases,81664
2007/2008,Nova Scotia,Total cases,140900
2007/2008,Nunavut,Family cases,3224
2007/2008,Nunavut,General civil cases,984
2007/2008,Nunavut,Total cases,4208
2007/2008,Ontario,Family cases,761150
2007/2008,Ontario,General civil cases,1305158
2007/2008,Ontario,Total cases,2066308
2007/2008,Yukon,Family cases,2500
2007/2008,Yukon,General civil cases,3620
2007/2008,Yukon,Total cases,6120
2008/2009,Alberta,Family cases,329980
2008/2009,Alberta,General civil cases,532082
2008/2009,Alberta,Total cases,862062
2008/2009,British Columbia,Family cases,252810
2008/2009,British Columbia,General civil cases,465368
2008/2009,British Columbia,Total cases,718178
2008/2009,Canada,Family cases,1419050
2008/2009,Canada,General civil cases,2491480
2008/2009,Canada,Total cases,3910530
2008/2009,New Brunswick,Family cases,0
2008/2009,New Brunswick,General civil cases,0
2008/2009,New Brunswick,Total cases,0
2008/2009,Northwest Territories,Family cases,3428
2008/2009,Northwest Territories,General civil cases,3560
2008/2009,Northwest Territories,Total cases,6988
2008/2009,Nova Scotia,Family cases,59608
2008/2009,Nova Scotia,General civil cases,81582
2008/2009,Nova Scotia,Total cases,141190
2008/2009,Nunavut,Family cases,3312
2008/2009,Nunavut,General civil cases,896
2008/2009,Nunavut,Total cases,4208
2008/2009,Ontario,Family cases,767516
2008/2009,Ontario,General civil cases,1404538
2008/2009,Ontario,Total cases,2172054
2008/2009,Yukon,Family cases,2396
2008/2009,Yukon,General civil cases,3454
2008/2009,Yukon,Total cases,5850
2009/2010,Alberta,Family cases,340182
2009/2010,Alberta,General civil cases,610074
2009/2010,Alberta,Total cases,950256
2009/2010,British Columbia,Family cases,252644
2009/2010,British Columbia,General civil cases,485766
2009/2010,British Columbia,Total cases,738410
2009/2010,Canada,Family cases,1442812
2009/2010,Canada,General civil cases,2568528
2009/2010,Canada,Total cases,4011340
2009/2010,New Brunswick,Family cases,0
2009/2010,New Brunswick,General civil cases,0
2009/2010,New Brunswick,Total cases,0
2009/2010,Northwest Territories,Family cases,3272
